nom,latitude,longitude,note,prix,furniture_store,laundry,bakery,cafe,home_goods_store,clothing_store,atm,lodging,night_club,convenience_store,restaurant,bar
Habitat Paris Faubourg Saint-Antoine,48.8521361,2.3723442,3.5,-1,1,0,0,0,1,0,0,0,0,0,0,0
BAILLARGÉ LÉONARD Tapissier-Décorateur,48.83153780000001,2.2333914,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Faience of Gien,48.8719004,2.3237988,4.3,-1,1,0,0,0,1,0,0,0,0,0,0,0
Décoration du Batiment,48.88534199999999,2.3384572,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Mobalpa Ivry sur Seine,48.81818070000001,2.3747651,2.5,-1,1,0,0,0,1,0,0,0,0,0,0,0
BEA FACTORY,48.8808124,2.2790375,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Soc S K,48.86800390000001,2.348485,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Gala Antiquités Paris 17,48.8809742,2.294108599999999,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Big Shop,48.8656764,2.3531799,4.8,-1,1,0,0,0,1,0,0,0,0,0,0,0
Diva Store Paris 11,48.86980399999999,2.373913,4.7,-1,1,0,0,0,1,0,0,0,0,0,0,0
Arat,48.9157865,2.4433118,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
L'atelier des Chefs Paris Penthièvre,48.87309339999999,2.3165794,4.5,-1,1,0,0,0,1,0,0,0,0,0,0,0
Societe les Tissandiers France,48.8509706,2.375579999999999,4.3,-1,1,0,0,0,1,0,0,0,0,0,0,0
Natalys,48.8520573,2.3369246,3.8,-1,1,0,0,0,1,1,0,1,0,0,0,0
Gallot Franck,48.9020637,2.3424388,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
L EUROPEENNE DE L AMEUBLEMENT,48.82160260000001,2.3045179,3.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Cappellone Olivier,48.8504154,2.3389583,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Codjia Jérôme,48.8827524,2.3808589,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
LABRADO Concept,48.8843322,2.3916789,1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Shelving and Storage,48.8743371,2.2323855,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Yesmeubles.com,48.89824240000001,2.441472,3.4,-1,1,0,0,0,1,0,0,0,0,0,0,0
Objet Direct,48.8728518,2.3904598,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Longuet Philippe,48.85633170000001,2.4595395,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Mis en Demeure - Bayen,48.8801666,2.2939733,4.3,-1,1,0,0,0,1,0,0,0,0,0,0,0
HomeSalons,48.8818267,2.4703039,1.2,-1,1,0,0,0,1,0,0,0,0,0,0,0
Ecomeubles Gallieni,48.8602213,2.4154439,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Worldmobili,48.855235,2.4197268,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Trancoso Manuel,48.8886705,2.325299,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Expert Art japonais & Kōgei,48.8650495,2.3627541,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
La Trouvaille,48.90185389999999,2.3364692,4.5,-1,1,0,0,0,1,0,0,0,0,0,0,0
débarras brocante,48.866901,2.397497200000001,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Lainé Jean-Christophe,48.81266189999999,2.237431599999999,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
A La Compagnie Du Placard,48.8491406,2.3922143,3.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Ambiances D'Intérieur,48.9148541,2.2732586,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
